idx,area_ha,pix,frac_ok
2,3.041696049421217,304,0.4506578947368421
4,2.2422631963647475,224,0.39732142857142855
1,3.5226981264100177,352,0.375
3,2.401201774111957,240,0.375
5,1.9209465937456152,192,0.3489583333333333
